,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,63,63,1680,6.1,10.2,0.592,0,0.1,0.333,6,10.2,0.594,2.5,4.3,0.582,4.4,8.1,12.5,3.1,1.1,1.4,2,2.6,14.7
2,Bam Adebayo\adebaba01,PF,22,MIA,72,72,2417,6.6,11.8,0.557,0,0.2,0.143,6.5,11.6,0.564,3.9,5.7,0.691,2.6,8.3,10.9,5.5,1.2,1.4,3,2.7,17.1
3,LaMarcus Aldridge\aldrila01,C,34,SAS,53,53,1754,8,16.3,0.493,1.3,3.2,0.389,6.8,13.1,0.519,3.2,3.9,0.827,2.1,5.9,8,2.6,0.7,1.8,1.5,2.6,20.5
4,Kyle Alexander\alexaky01,PF,23,MIA,2,0,13,2.8,5.5,0.5,0,0,,2.8,5.5,0.5,0,0,,5.5,2.8,8.3,0,0,0,2.8,2.8,5.5
5,Nickeil Alexander-Walker\alexani01,SG,21,NOP,47,1,591,6,16.2,0.368,2.8,8.1,0.346,3.2,8.1,0.391,1.5,2.3,0.676,0.5,4.6,5.1,5.4,1,0.5,3.3,3.5,16.3
6,Grayson Allen\allengr01,SG,24,MEM,38,0,718,5.9,12.6,0.466,2.9,7.1,0.404,3,5.5,0.545,2,2.3,0.867,0.4,3.9,4.3,2.6,0.5,0.1,1.7,2.7,16.5
7,Jarrett Allen\allenja01,C,21,BRK,70,64,1852,5.9,9,0.649,0,0.1,0,5.9,8.9,0.658,3.3,5.2,0.633,4.2,8.8,13,2.1,0.8,1.8,1.5,3.1,15.1
8,Kadeem Allen\allenka01,SG,27,NYK,10,0,117,5.8,13.5,0.432,1.5,4.9,0.313,4.3,8.6,0.5,2.2,3.4,0.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
9,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,380,2.4,8.1,0.291,0.9,3.4,0.25,1.5,4.7,0.32,1.8,2.7,0.655,2.3,6,8.2,2,1.7,0.8,1.6,2.6,7.4
10,Justin Anderson\anderju01,SF,26,BRK,10,1,107,3.4,12.8,0.263,2,9.8,0.207,1.3,3,0.444,0.7,1.3,0.5,0.3,6.7,7.1,2.7,0,2,1.3,4.4,9.4
11,Kyle Anderson\anderky01,PF,26,MEM,67,28,1330,4.2,9,0.474,0.6,2.3,0.282,3.6,6.7,0.541,1.4,2.1,0.667,1.6,6.1,7.7,4.4,1.5,1,1.8,3,10.6
12,Ryan Anderson\anderry01,C,31,HOU,2,0,14,5.1,18,0.286,2.6,12.9,0.2,2.6,5.1,0.5,0,0,,0,18,18,5.1,2.6,0,2.6,2.6,12.9
13,Giannis Antetokounmpo\antetgi01,PF,25,MIL,63,63,1917,12.9,23.2,0.553,1.7,5.5,0.304,11.2,17.7,0.631,7.5,11.8,0.633,2.6,13.4,16.1,6.6,1.1,1.2,4.3,3.7,34.9
14,Kostas Antetokounmpo\antetko01,PF,22,LAL,5,0,20,5.4,5.4,1,0,0,,5.4,5.4,1,1.8,3.6,0.5,3.6,1.8,5.4,3.6,0,0,1.8,3.6,12.6
15,Thanasis Antetokounmpo\antetth01,SF,27,MIL,20,2,129,6.7,13.4,0.5,0,2.8,0,6.7,10.6,0.632,2,4.7,0.412,3.3,3.3,6.7,4.2,2,0.6,3.3,5,15.3
16,Carmelo Anthony\anthoca01,PF,35,POR,58,58,1902,6.4,14.8,0.43,1.6,4.3,0.385,4.7,10.5,0.448,2.6,3,0.845,1.3,5.6,7,1.6,0.9,0.5,1.9,3.2,16.9
17,OG Anunoby\anunoog01,SF,22,TOR,69,68,2066,5,9.9,0.505,1.6,4,0.39,3.4,5.9,0.583,1.3,1.8,0.706,1.4,4.9,6.3,1.9,1.7,0.8,1.4,2.9,12.8
18,Ryan Arcidiacono\arcidry01,PG,25,CHI,58,4,930,3.5,8.5,0.409,2.1,5.3,0.391,1.4,3.2,0.439,1,1.5,0.711,0.8,3.5,4.3,3.7,1,0.1,1.4,3.7,10.1
19,Trevor Ariza\arizatr01,SF,34,TOT,53,21,1493,3.4,7.8,0.438,1.9,5,0.372,1.6,2.8,0.556,1.5,1.8,0.838,0.8,5.1,5.9,2.2,1.7,0.4,1.4,2.7,10.2
19,Trevor Ariza\arizatr01,SF,34,SAC,32,0,791,2.9,7.5,0.388,2,5.6,0.352,1,2,0.488,1,1.2,0.778,1,5.7,6.6,2.3,1.6,0.3,1.3,2.9,8.7
19,Trevor Ariza\arizatr01,SF,34,POR,21,21,702,4,8.2,0.491,1.7,4.4,0.4,2.3,3.8,0.595,2.1,2.4,0.872,0.7,4.5,5.1,2.1,1.7,0.4,1.4,2.5,11.8
20,D.J. Augustin\augusdj01,PG,32,ORL,57,13,1420,4.7,11.7,0.399,1.8,5.1,0.348,2.9,6.6,0.438,4.1,4.6,0.89,0.6,2.5,3.1,6.6,0.9,0,2.2,1.8,15.2
21,Deandre Ayton\aytonde01,C,21,PHO,38,32,1236,9,16.5,0.546,0.1,0.4,0.231,8.9,16.2,0.553,2,2.6,0.753,4.3,8.4,12.7,2.1,0.8,1.7,2.3,3.4,20.1
22,Dwayne Bacon\bacondw01,SG,24,CHO,39,11,687,4.5,12.8,0.348,1,3.5,0.284,3.5,9.3,0.373,1.8,2.8,0.66,0.8,4.5,5.2,2.7,1.2,0.1,1.9,2.7,11.7
23,Marvin Bagley III\baglema01,PF,20,SAC,13,6,334,8.4,18,0.467,0.4,2.4,0.182,8,15.6,0.51,2.7,3.3,0.806,3.1,7.3,10.5,1.1,0.6,1.3,1.9,4.6,19.9
24,Lonzo Ball\balllo01,PG,22,NOP,63,54,2025,4.9,12.2,0.403,2.6,7,0.375,2.3,5.2,0.442,0.8,1.4,0.566,1.3,5.5,6.8,7.8,1.6,0.7,3.4,2.3,13.2
25,Mo Bamba\bambamo01,C,21,ORL,62,0,878,5.4,11.7,0.462,1.5,4.4,0.346,3.9,7.3,0.531,1.3,1.9,0.674,4.1,8.3,12.4,1.7,0.9,3.5,1.7,4.8,13.6
26,J.J. Barea\bareajo01,PG,35,DAL,29,6,450,6.8,16.6,0.411,2.6,6.8,0.376,4.2,9.8,0.434,1.6,1.8,0.909,0.8,3.4,4.2,9,0.4,0.2,3,2.2,17.8
27,Harrison Barnes\barneha02,PF,27,SAC,72,72,2482,5.3,11.5,0.46,1.5,3.9,0.381,3.8,7.6,0.501,3.1,3.9,0.801,1.1,4,5.1,2.3,0.6,0.2,1.3,1.3,15.2
28,RJ Barrett\barrerj01,SG,19,NYK,56,55,1704,6.2,15.4,0.402,1.3,4.2,0.32,4.8,11.2,0.432,3.3,5.4,0.614,1.1,4.8,5.9,3,1.2,0.4,2.6,2.6,17
29,Will Barton\bartowi01,SF,29,DEN,58,58,1916,6.2,13.9,0.45,2,5.4,0.375,4.2,8.5,0.498,1.9,2.5,0.767,1.4,5.4,6.9,4,1.1,0.5,1.7,2.3,16.4
30,Keita Bates-Diop\bateske01,SF,24,TOT,44,0,744,4.8,11.3,0.427,1.6,5,0.33,3.2,6.3,0.504,2.6,3.6,0.72,1.2,4.9,6.1,1.5,0.9,1.2,0.8,2.1,13.9
30,Keita Bates-Diop\bateske01,SF,24,MIN,37,0,646,4.8,11.5,0.422,1.7,5.2,0.33,3.1,6.2,0.5,2.6,3.6,0.708,1.2,5,6.1,1.7,0.9,1.1,0.8,2,14
30,Keita Bates-Diop\bateske01,SF,24,DEN,7,0,98,4.8,10.3,0.464,1.1,3.3,0.333,3.7,7,0.526,2.9,3.7,0.8,1.5,4.8,6.2,0,0.7,1.5,1.1,2.6,13.6
31,Nicolas Batum\batumni01,SF,31,CHO,22,3,505,2,5.8,0.346,1,3.5,0.286,1,2.3,0.438,0.6,0.7,0.9,1.8,5.3,7.1,4.7,1.2,0.6,1.6,2.9,5.6
32,Aron Baynes\baynear01,C,33,PHO,42,28,934,7.1,14.7,0.48,2.3,6.5,0.351,4.8,8.2,0.582,2.2,2.9,0.747,2.7,6.4,9.1,2.6,0.4,0.9,1.9,5.4,18.5
33,Kent Bazemore\bazemke01,SF-SG,30,TOT,68,21,1688,4.3,11.4,0.375,1.8,5.2,0.344,2.5,6.2,0.4,2.4,3.1,0.769,0.6,5.7,6.3,2,1.6,0.9,1.9,4.2,12.7
33,Kent Bazemore\bazemke01,SF,30,POR,43,21,1111,3.7,10.6,0.347,1.8,5.5,0.327,1.8,5,0.368,1.9,2.3,0.806,0.4,5.2,5.6,2,1.5,1,1.9,3.9,11
33,Kent Bazemore\bazemke01,SG,30,SAC,25,0,577,5.4,13,0.418,1.7,4.6,0.384,3.7,8.4,0.437,3.4,4.7,0.733,0.9,6.7,7.6,2,1.8,0.6,1.9,4.7,16
34,Darius Bazley\bazleda01,PF,19,OKC,61,9,1130,4,10.1,0.394,1.6,4.5,0.348,2.4,5.6,0.432,1.4,2,0.694,1,6.9,7.8,1.3,0.7,1.3,1.4,1.8,10.9
35,Bradley Beal\bealbr01,SG,26,WAS,57,57,2053,10.4,22.8,0.455,3,8.4,0.353,7.4,14.4,0.515,6.8,8,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
36,Malik Beasley\beaslma01,SG,23,TOT,55,14,1209,6.8,15.9,0.425,3.2,8.2,0.388,3.6,7.7,0.465,1.6,2,0.818,0.5,3.9,4.4,2.2,1.2,0.2,1.7,2.3,18.3
36,Malik Beasley\beaslma01,SG,23,DEN,41,0,746,5.6,14.5,0.389,2.8,7.8,0.36,2.8,6.8,0.421,1.6,1.8,0.868,0.4,3.3,3.7,2.3,1.5,0.3,1.7,2.4,15.7
36,Malik Beasley\beaslma01,SG,23,MIN,14,14,463,8.6,18.1,0.472,3.8,8.9,0.426,4.7,9.2,0.517,1.6,2.2,0.75,0.7,4.8,5.5,2.1,0.7,0.2,1.6,2.1,22.5
37,Marco Belinelli\belinma01,SG,33,SAS,57,0,883,5,12.8,0.392,2.7,7.3,0.376,2.3,5.5,0.412,2,2.4,0.828,0.3,3.8,4,2.8,0.5,0,0.8,1.8,14.7
38,Jordan Bell\belljo01,C-PF,25,TOT,29,0,256,4.9,9.4,0.522,0.6,1.7,0.333,4.4,7.7,0.564,2.7,4.4,0.613,4.2,7.2,11.4,2.3,0.4,1.4,3,2.7,13.1
38,Jordan Bell\belljo01,C,25,MIN,27,0,235,4.9,9.2,0.533,0.3,1.4,0.222,4.6,7.8,0.588,2.6,4.4,0.586,4.3,7.7,11.9,2.1,0.3,1.5,2.8,2.6,12.7
38,Jordan Bell\belljo01,PF,25,MEM,2,0,21,5.1,12,0.429,3.4,5.1,0.667,1.7,6.9,0.25,3.4,3.4,1,3.4,1.7,5.1,3.4,1.7,0,5.1,3.4,17.1
39,DeAndre' Bembry\bembrde01,SG,25,ATL,43,4,915,4.1,9,0.456,0.6,2.6,0.231,3.5,6.4,0.546,1,1.9,0.542,1.3,4.6,6,3.2,2.2,0.7,2.4,3.3,9.8
40,Dragan Bender\bendedr01,SF,22,TOT,16,3,286,5.2,11.6,0.446,1.9,5.4,0.349,3.3,6.2,0.531,1.3,1.8,0.714,2,7.2,9.2,3.5,0.5,1.1,2.6,5.3,13.5
40,Dragan Bender\bendedr01,SF,22,MIL,7,0,91,4,8.3,0.476,1.6,3.6,0.444,2.4,4.7,0.5,0.8,1.2,0.667,0,7.9,7.9,3.6,0,2,2,6.3,10.3
40,Dragan Bender\bendedr01,SF,22,GSW,9,3,195,5.7,13.1,0.437,2,6.3,0.324,3.7,6.8,0.541,1.5,2,0.727,3,6.8,9.8,3.5,0.7,0.7,3,4.8,15
41,Dāvis Bertāns\bertada01,PF,27,WAS,54,4,1583,6,13.9,0.434,4.5,10.7,0.424,1.5,3.1,0.471,2.4,2.8,0.852,0.8,4.8,5.6,2.1,0.8,0.8,1.3,3.2,19
42,Patrick Beverley\beverpa01,PG,31,LAC,51,50,1342,3.9,9.1,0.431,2.1,5.5,0.388,1.8,3.6,0.496,0.8,1.3,0.66,1.5,5.6,7.1,4.9,1.4,0.7,1.8,4.2,10.9
43,Khem Birch\birchkh01,C,27,ORL,48,24,922,2.9,5.6,0.51,0,0,0,2.9,5.5,0.514,2.6,3.9,0.653,3.6,5,8.6,2,0.8,0.9,1.2,3.6,8.3
44,Goga Bitadze\bitadgo01,C,20,IND,54,2,471,5.4,11.5,0.467,0.6,3.2,0.19,4.7,8.3,0.574,1.8,2.5,0.727,1.9,6.2,8.1,1.8,0.8,2.8,2.1,5,13.1
45,Bismack Biyombo\biyombi01,C,27,CHO,53,29,1029,5.3,9.7,0.543,0,0,,5.3,9.7,0.543,3.2,5.3,0.603,4.2,6.6,10.8,1.7,0.3,1.7,1.7,4.1,13.7
46,Nemanja Bjelica\bjeline01,PF,31,SAC,72,67,2011,5.6,11.7,0.481,2.4,5.7,0.419,3.2,6,0.541,1.2,1.5,0.821,2,6.2,8.2,3.6,1.1,0.7,1.8,3.9,14.9
47,Eric Bledsoe\bledser01,PG,30,MIL,61,61,1646,7.3,15.4,0.475,1.6,4.7,0.344,5.7,10.7,0.533,3.7,4.7,0.79,0.9,5.2,6.2,7.2,1.2,0.6,3.2,2.8,19.9
48,Bogdan Bogdanović\bogdabo01,SG,27,SAC,61,28,1766,6.9,15.6,0.44,3.3,9,0.372,3.5,6.6,0.532,1.8,2.4,0.741,0.5,3.7,4.2,4.2,1.3,0.3,2.1,2.7,18.8
49,Bojan Bogdanović\bogdabo02,SF,30,UTA,63,63,2083,7.2,16.2,0.447,3.3,7.9,0.414,4,8.3,0.479,4.3,4.8,0.903,0.7,3.8,4.5,2.3,0.6,0.1,2.7,1.9,22
50,Bol Bol\bolbo01,SF,20,DEN,7,0,87,5.8,11.6,0.5,1.7,3.7,0.444,4.1,7.9,0.526,3.3,4.1,0.8,2.1,5.8,7.9,2.5,0.8,2.5,4.1,4.6,16.6
51,Jonah Bolden\boldejo01,PF,24,TOT,7,0,47,3.1,8.4,0.364,0,3.1,0,3.1,5.4,0.571,1.5,3.1,0.5,2.3,4.6,6.9,0,2.3,1.5,1.5,7.7,7.7
51,Jonah Bolden\boldejo01,PF,24,PHI,4,0,14,5.1,7.7,0.667,0,2.6,0,5.1,5.1,1,0,5.1,0,0,2.6,2.6,0,2.6,0,5.1,10.3,10.3
51,Jonah Bolden\boldejo01,PF,24,PHO,3,0,33,2.2,8.7,0.25,0,3.3,0,2.2,5.5,0.4,2.2,2.2,1,3.3,5.5,8.7,0,2.2,2.2,0,6.5,6.5
52,Marques Bolden\boldema01,C,21,CLE,1,0,3,0,0,,0,0,,0,0,,0,0,,0,24,24,0,12,0,0,12,0
53,Jordan Bone\bonejo01,PG,22,DET,10,0,53,3.4,13.6,0.25,1.4,6.8,0.2,2,6.8,0.3,0,0,,0,2.7,2.7,5.4,0.7,0,1.4,4.1,8.2
54,Isaac Bonga\bongais01,SF,20,WAS,66,49,1250,3.4,6.7,0.504,0.7,2,0.352,2.7,4.7,0.571,2,2.4,0.812,2,4.3,6.4,2.2,1.3,0.6,1.7,4.5,9.5
55,Devin Booker\bookede01,SG,23,PHO,70,70,2512,9,18.4,0.489,2,5.7,0.354,7,12.7,0.549,6.7,7.3,0.919,0.4,3.8,4.3,6.5,0.7,0.3,3.8,3.1,26.7
56,Chris Boucher\bouchch01,PF,27,TOR,62,0,819,6.2,13.1,0.472,1.7,5.2,0.322,4.5,8,0.569,4,5.1,0.784,4.7,7.5,12.2,1.1,1,2.7,1.2,5,18.1
57,Brian Bowen\bowenbr02,SG,21,IND,6,1,31,3.5,11.6,0.3,0,2.3,0,3.5,9.3,0.375,0,0,,1.2,7,8.1,0,0,1.2,1.2,3.5,7
58,Ky Bowman\bowmaky01,PG,22,GSW,45,12,1015,4.8,11.4,0.417,1.2,3.8,0.308,3.6,7.6,0.472,1.2,1.5,0.829,0.9,3.4,4.3,4.6,1.6,0.4,2.5,3.6,11.9
59,Avery Bradley\bradlav01,SG,29,LAL,49,44,1186,5.2,11.6,0.444,1.9,5.3,0.364,3.2,6.4,0.51,0.6,0.7,0.833,0.5,2.9,3.5,1.9,1.3,0.2,1.4,3.3,12.8
60,Tony Bradley\bradlto01,C,22,UTA,58,3,663,6.8,10.3,0.667,0.2,0.2,1,6.7,10.1,0.661,1.6,2.5,0.652,6,8.5,14.5,1.2,0.8,1.8,1.6,6.2,15.5
61,Jarrell Brantley\brantja01,PF,23,UTA,9,0,96,3.7,10.5,0.357,1.1,4.9,0.231,2.6,5.6,0.467,0.4,0.7,0.5,0.7,6.8,7.5,4.1,1.1,1.9,2.6,2.6,9
62,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,0,53,4.1,14.9,0.273,0.7,6.1,0.111,3.4,8.8,0.385,2.7,3.4,0.8,1.4,2,3.4,2.7,0,0.7,1.4,2,11.5
63,Corey Brewer\breweco01,SG,33,SAC,5,0,33,2.2,4.4,0.5,0,1.1,0,2.2,3.3,0.667,1.1,3.3,0.333,2.2,6.5,8.7,2.2,4.4,0,2.2,7.6,5.5
64,Mikal Bridges\bridgmi01,SF,23,PHO,73,32,2042,4.4,8.5,0.51,1.2,3.4,0.361,3.1,5.1,0.61,1.8,2.2,0.844,1.2,4,5.1,2.3,1.8,0.8,1.3,2.9,11.8
65,Miles Bridges\bridgmi02,SF,21,CHO,65,64,1995,5.8,13.6,0.424,1.8,5.4,0.33,4,8.2,0.486,1.9,2.4,0.809,1.6,4.9,6.5,2.1,0.7,0.9,1.7,2.4,15.2
66,Oshae Brissett\brissos01,SF,21,TOR,19,0,135,3.5,9.6,0.361,0.8,4,0.2,2.7,5.6,0.476,2.1,2.7,0.8,2.4,4.5,6.9,1.9,1.1,0.3,1.9,4.8,9.9
67,Ryan Broekhoff\broekry01,SG,29,DAL,17,1,180,4.4,11.8,0.373,4,10.2,0.392,0.4,1.6,0.25,1.4,1.6,0.875,1,7.6,8.6,2.2,1,0.8,1.2,3,14.2
68,Malcolm Brogdon\brogdma01,PG,27,IND,54,54,1666,7,16.1,0.438,1.6,5,0.326,5.4,11.1,0.488,3.6,4,0.892,1,4.7,5.7,8.2,0.8,0.2,2.8,2.1,19.3
69,Dillon Brooks\brookdi01,SG,24,MEM,73,73,2112,7.4,18.2,0.407,2.5,7,0.358,4.9,11.2,0.438,2.8,3.5,0.808,1.2,3,4.1,2.6,1.1,0.5,2.1,4.7,20.1
70,Bruce Brown\brownbr01,SG,23,DET,58,43,1634,4.4,9.8,0.443,0.7,2.1,0.344,3.6,7.7,0.47,1.9,2.6,0.739,1.3,4.7,6,5.1,1.4,0.6,2.2,3.6,11.4
71,Charlie Brown\brownch02,SG,22,ATL,10,0,40,5.4,17.1,0.316,2.7,8.1,0.333,2.7,9,0.3,4.5,4.5,1,1.8,1.8,3.6,1.8,1.8,1.8,2.7,2.7,18
72,Jaylen Brown\brownja02,SF,23,BOS,57,57,1934,7.9,16.5,0.481,2.4,6.3,0.382,5.5,10.2,0.543,3.3,4.5,0.724,1.2,5.6,6.8,2.2,1.2,0.4,2.3,3.1,21.6
73,Moses Brown\brownmo01,C,20,POR,9,0,33,4.4,10.9,0.4,0,0,,4.4,10.9,0.4,3.3,8.7,0.375,3.3,12,15.3,1.1,1.1,1.1,3.3,7.6,12
74,Sterling Brown\brownst02,SF,24,MIL,52,1,767,4.5,12,0.371,2.1,6.4,0.324,2.4,5.6,0.425,1.5,1.9,0.8,1.5,7.1,8.6,2.4,1.4,0.3,2,2.5,12.5
75,Troy Brown Jr.\browntr01,SG,20,WAS,69,22,1782,5.5,12.6,0.439,1.2,3.6,0.341,4.3,8.9,0.479,2.2,2.8,0.784,1.5,6.2,7.7,3.6,1.7,0.1,1.6,2.7,14.5
76,Jalen Brunson\brunsja01,PG,23,DAL,57,16,1022,6.4,13.7,0.466,1.5,4.2,0.358,4.9,9.4,0.515,2.1,2.6,0.813,0.8,3.9,4.7,6.6,0.8,0.1,2.3,2.6,16.4
77,Thomas Bryant\bryanth01,C,22,WAS,46,36,1147,7.6,13.1,0.581,1.2,2.9,0.407,6.5,10.3,0.63,2.7,3.6,0.741,3.1,7.3,10.4,2.6,0.8,1.5,1.7,3.2,19.1
78,Reggie Bullock\bullore01,SG,28,NYK,29,19,684,4.7,11.8,0.402,1.9,5.8,0.333,2.8,5.9,0.469,0.9,1.1,0.81,0.7,2.9,3.6,2.2,1.3,0.2,1,2.9,12.3
79,Trey Burke\burketr01,PG,27,TOT,33,1,520,6.5,14.5,0.45,2.2,5.2,0.427,4.3,9.3,0.463,1.6,2,0.793,1.1,2.4,3.5,5.7,1.1,0.1,1.5,2.3,16.8
79,Trey Burke\burketr01,PG,27,PHI,25,0,329,6.5,13.9,0.465,1.8,4.2,0.421,4.7,9.7,0.483,1.4,2,0.722,1.6,2.2,3.8,5.8,0.8,0.1,1.3,2.3,16.1
79,Trey Burke\burketr01,PG,27,DAL,8,1,191,6.6,15.5,0.427,3,7,0.432,3.6,8.5,0.422,1.9,2.1,0.909,0.2,2.6,2.8,5.7,1.7,0.2,1.7,2.3,18.1
80,Alec Burks\burksal01,SG,28,TOT,66,19,1754,6.6,15.8,0.418,2.4,6.2,0.385,4.2,9.6,0.439,4.8,5.4,0.887,1,4.8,5.8,3.9,1.3,0.3,1.9,2.6,20.4
80,Alec Burks\burksal01,SG,28,GSW,48,18,1390,6.3,15.6,0.406,2.2,5.8,0.375,4.1,9.8,0.424,5.2,5.8,0.897,1,4.9,5.9,3.9,1.3,0.4,2,2.8,20
80,Alec Burks\burksal01,SG,28,PHI,18,1,364,7.6,16.5,0.461,3.2,7.6,0.416,4.5,8.9,0.5,3.4,4.1,0.829,1.1,4.5,5.5,3.8,1.2,0,1.5,2.1,21.8
81,Deonte Burton\burtode02,SG,26,OKC,39,0,356,4.3,12.6,0.344,1,5.4,0.189,3.3,7.3,0.458,0.8,1.4,0.571,0.7,5.1,5.8,1.7,0.7,1,1.9,3.4,10.5
82,Jimmy Butler\butleji01,SF,30,MIA,58,58,1959,6.3,13.9,0.455,0.5,2.2,0.244,5.8,11.7,0.495,8,9.6,0.834,1.9,5.1,7.1,6.4,1.9,0.6,2.3,1.5,21.3
83,Bruno Caboclo\cabocbr01,C,24,TOT,30,0,244,5.6,13.1,0.427,0.9,4.9,0.182,4.7,8.3,0.571,1.2,1.3,0.889,3.4,5.5,8.9,1.8,2.2,2.5,1.9,4.6,13.3
83,Bruno Caboclo\cabocbr01,C,24,MEM,22,0,192,5.2,12.9,0.406,0.7,4.7,0.16,4.5,8.2,0.545,0.4,0.6,0.667,3.2,5.1,8.2,1.9,1.9,2.3,1.3,4.3,11.6
83,Bruno Caboclo\cabocbr01,C,24,HOU,8,0,52,6.9,13.8,0.5,1.4,5.5,0.25,5.5,8.3,0.667,4.2,4.2,1,4.2,6.9,11.1,1.4,3.5,3.5,4.2,5.5,19.4
84,Devontae Cacok\cacokde01,C,23,LAL,1,0,9,12,24,0.5,0,0,,12,24,0.5,0,0,,8,12,20,4,0,0,0,0,24
85,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,69,26,1762,4.8,10.4,0.467,1.9,4.9,0.385,3,5.5,0.541,1.6,2.1,0.775,0.8,2.1,2.9,2.3,1.2,0.3,1.3,2.6,13.2
86,Vlatko Čančar\cancavl01,SF,22,DEN,14,0,45,4.8,12,0.4,0.8,4.8,0.167,4,7.2,0.556,3.2,3.2,1,4,4,8,2.4,0.8,0.8,2.4,5.6,13.6
87,Clint Capela\capelca01,C,25,HOU,39,39,1279,6.9,10.9,0.629,0,0,,6.9,10.9,0.629,1.5,2.9,0.529,4.7,10.4,15.1,1.4,0.9,2,1.8,2.9,15.3
88,DeMarre Carroll\carrode01,SF-PF,33,TOT,24,0,290,3.1,8.2,0.379,1,4.1,0.242,2.1,4.1,0.515,3.6,5.2,0.69,1.5,5.3,6.8,3.1,1,0.6,2.1,4,10.8
